County;faa_ors;FAA_Lat;FAA_Long;case_id;USWTDB_Lat;USWTDB_Long;Center_Lat;Center_Long;Center_X;Center_Y;Label
1;;41.433804;-94.683495;3070813;41.433804;-94.683495;41.433725229906;-94.6836457256621;359332;4588274;Polygon ((-94.68423501669171571 41.43405849093976911, -94.68423431530874268 41.43378267781478286, -94.68332775081456987 41.43328785370515988, -94.68312026534492531 41.43346993346852969, -94.68324203393250116 41.4339520522127458, -94.68423501669171571 41.43405849093976911))
1;;41.469986;-94.339256;3069567;41.469986;-94.339256;41.4699744788797;-94.3394721494352;388151;4591796;Polygon ((-94.33932036901600782 41.4703877398423586, -94.34002723035892757 41.46972139195997187, -94.33965227070655146 41.46963381769496948, -94.33906668315917443 41.46994065982018185, -94.33909948164750858 41.47028385226370517, -94.33932036901600782 41.4703877398423586))
1;19-002729;41.494167;-94.3275;3015284;41.493992;-94.327393;41.4939928804061;-94.3274064194508;389199;4594447;Polygon ((-94.32760982719464948 41.49414620526457753, -94.32768948415990451 41.49379364737447418, -94.32728120026128238 41.49375817312405701, -94.32707081649832048 41.49425289468088351, -94.32760982719464948 41.49414620526457753))
1;19-020295;41.463136;-94.677406;3025877;41.463093;-94.677391;41.4631903518428;-94.6774745637385;359911;4591535;Polygon ((-94.67757700450707148 41.46359796434875733, -94.67710303975751174 41.46360487728529876, -94.67720676256489298 41.46296540186139623, -94.67790082700581422 41.46268904099801489, -94.67757700450707148 41.46359796434875733))
1;19-020296;41.443722;-94.647464;3025876;41.443691;-94.647491;41.4437091337171;-94.6473164749781;362389;4589324;Polygon ((-94.64761054269398244 41.44402286858773721, -94.64651874466231618 41.44361654219832047, -94.64748311539989345 41.44347212504096234, -94.64785753354020414 41.44375811566241197, -94.64761054269398244 41.44402286858773721))
1;19-020299;41.4215;-94.651389;3025873;41.421494;-94.65139;41.4214430497468;-94.6512318939955;362014;4586858;Polygon ((-94.65164848113532514 41.42176334582013908, -94.65087682211314757 41.42159860571507579, -94.65072196903632573 41.42101811711426507, -94.65182916963706816 41.42151962934764242, -94.65164848113532514 41.42176334582013908))
1;19-020300;41.421411;-94.655886;3025872;41.421394;-94.655891;41.4213885391444;-94.6558368039961;361629;4586859;Polygon ((-94.65617423263954322 41.42175162287949064, -94.65527661216684407 41.42135765096865896, -94.65554120603377442 41.42100220707982317, -94.65642187240480609 41.42151698197033483, -94.65617423263954322 41.42175162287949064))
1;19-020301;41.421133;-94.660956;3025871;41.421093;-94.660995;41.4211340494842;-94.6610097112117;361197;4586839;Polygon ((-94.66131433889427171 41.42147535758146404, -94.66048366102317857 41.42109050627288269, -94.66073603428851868 41.42078043726402115, -94.66152834634306146 41.42123114476398626, -94.66131433889427171 41.42147535758146404))
1;19-020302;41.423728;-94.665133;3025870;41.423695;-94.665092;41.4237648008248;-94.6653325001734;360841;4587138;Polygon ((-94.66571509090120173 41.42398340745690177, -94.66492361496041497 41.42382909567785276, -94.66496928891021412 41.42352703267448533, -94.66578975790694983 41.42377134483160717, -94.66571509090120173 41.42398340745690177))
1;19-020303;41.424039;-94.670606;3025869;41.423992;-94.670593;41.4240038608677;-94.6706902590571;360394;4587174;Polygon ((-94.6709664746985311 41.42429956641949218, -94.67025746614244497 41.42397832241095301, -94.6704167882023313 41.42368465370871888, -94.67115518479302239 41.42411096038820517, -94.6709664746985311 41.42429956641949218))
