County;Num;case_id;ImageFile;ImageTop_Lat;ImageLeft_Long;ImageBottom_Lat;ImageRight_Long;Polygons
1;1;3070813;windmill_3070813_001_1.tif;41.435455261339364;-94.6858153870568;41.43320400449884;-94.68270516979058;Polygon ((-94.68423501669172 41.43405849093977,-94.68423431530874 41.43378267781478,-94.68332775081457 41.43328785370516,-94.68312026534493 41.43346993346853,-94.6832420339325 41.433952052212746,-94.68423501669172 41.43405849093977))
1;2;3069567;windmill_3069567_001_2.tif;41.4718025103021;-94.34050435963381;41.46954176981066;-94.33740406091957;Polygon ((-94.33932036901601 41.47038773984236,-94.34002723035893 41.46972139195997,-94.33965227070655 41.46963381769497,-94.33906668315917 41.46994065982018,-94.33909948164751 41.470283852263705,-94.33932036901601 41.47038773984236))
1;3;3015284;windmill_3015284_001_3.tif;41.49551680437252;-94.32900113482937;41.493255773661694;-94.32590007545487;Polygon ((-94.32760982719465 41.49414620526458,-94.3276894841599 41.493793647374474,-94.32728120026128 41.49375817312406,-94.32707081649832 41.49425289468088,-94.32760982719465 41.49414620526458))
1;4;3025877;windmill_3025877_001_4.tif;41.46368042821778;-94.679242252736;41.46142902521971;-94.67613087562596;Polygon ((-94.67757700450707 41.46359796434876,-94.67710303975751 41.4636048772853,-94.6772067625649 41.462965401861396,-94.67790082700581 41.462689040998015,-94.67757700450707 41.46359796434876))
1;5;3025876;windmill_3025876_001_5.tif;41.445565426534834;-94.64823763328528;41.443313142036146;-94.64512818773991;Polygon ((-94.64761054269398 41.44402286858774,-94.64651874466232 41.44361654219832,-94.6474831153999 41.44347212504096,-94.6478575335402 41.44375811566241,-94.64761054269398 41.44402286858774))
1;6;3025873;windmill_3025873_001_6.tif;41.421943984100814;-94.65234284482435;41.41969178351829;-94.64923441508527;Polygon ((-94.65164848113533 41.42176334582014,-94.65087682211315 41.421598605715076,-94.65072196903633 41.421018117114265,-94.65182916963707 41.42151962934764,-94.65164848113533 41.42176334582014))
1;7;3025872;windmill_3025872_001_7.tif;41.42240968945004;-94.65753614148362;41.42015763315322;-94.65442751408276;Polygon ((-94.65617423263954 41.42175162287949,-94.65527661216684 41.42135765096866,-94.65554120603377 41.42100220707982,-94.6564218724048 41.421516981970335,-94.65617423263954 41.42175162287949))
1;8;3025871;windmill_3025871_001_8.tif;41.42228905889437;-94.66339663826876;41.4200371646288;-94.66028781939956;Polygon ((-94.66131433889427 41.421475357581464,-94.66048366102318 41.42109050627288,-94.66073603428852 41.42078043726402,-94.66152834634306 41.421231144763986,-94.66131433889427 41.421475357581464))
1;9;3025870;windmill_3025870_001_9.tif;41.42556676114628;-94.66719009825759;41.42331497602203;-94.66408099151741;Polygon ((-94.6657150909012 41.4239834074569,-94.66492361496041 41.42382909567785,-94.66496928891021 41.423527032674485,-94.66578975790695 41.42377134483161,-94.6657150909012 41.4239834074569))
1;10;3025869;windmill_3025869_001_10.tif;41.42444622031304;-94.6730251838126;41.422194595295885;-94.66991593535529;Polygon ((-94.67096647469853 41.42429956641949,-94.67025746614244 41.42397832241095,-94.67041678820233 41.42368465370872,-94.67115518479302 41.424110960388205,-94.67096647469853 41.42429956641949))
